Dot Point Measurements

Generated: Thursday 24 August 2023 07:30:06

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1048	82													20230309-1	12					Sponges	Crusts	Encrusting				10000902		87.3
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		823	31													20230309-1	12					Sponges	Crusts	Encrusting				10000902		91.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		763	1822													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		26.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		557	536													20230309-1	12					Sessile invertebrates						00000002		74.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1070	715													20230309-1	12					Sessile invertebrates						00000002		57.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		665	964													20230309-1	12					Sponges	Erect forms	Laminar				10000913		53.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		823	578													20230309-1	12					Sessile invertebrates						00000002		66.7
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		657	434													20230309-1	12					Sessile invertebrates						00000002		76.3
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1067	879													20230309-1	12					Sessile invertebrates						00000002		49.3
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		833	1074													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		44.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		901	454													20230309-1	12					Sponges	Crusts	Encrusting				10000902		71.2
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		903	1635													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		23.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		725	58													20230309-1	12					Sessile invertebrates						00000002		92.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		558	1730													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		37.3
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		649	690													20230309-1	12					Sessile invertebrates						00000002		65.4
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		873	682													20230309-1	12					Sessile invertebrates						00000002		61.2
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		574	1354													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		43.7
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1077	869													20230309-1	12					Sessile invertebrates						00000002		49.6
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		638	866													20230309-1	12					Sessile invertebrates						00000002		58.5
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1079	1478													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		22.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1943	2986													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		61.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1816	2830													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		52.4
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1625	3630													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		86.4
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1838	3782													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		95.8
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1748	3276													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		71.2
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1705	3615													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		86.5
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1874	2334													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		35.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1758	2973													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		57.5
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2060	2364													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		43.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2088	2945													20230309-1	12					Sessile invertebrates						00000002		64.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1614	2161													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		20.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1988	2917													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		60.2
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1952	3798													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		98.2
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2088	3608													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		92.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1716	2053													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		21.2
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1897	2640													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		46.6
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1808	2644													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		44.4
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1730	3588													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		85.5
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1904	2362													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		37.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1722	2798													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		49.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2065	56													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		94.7
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1968	1569													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		34.5
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1948	607													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		68.1
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2070	1733													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		36.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2018	97													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		92.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1620	1855													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		14.6
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1812	419													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		73.9
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1816	1247													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		38.4
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2040	1193													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		47.7
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1787	1045													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		45.7
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		1687	1599													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009		22.0
20230309-1_12_02_20230309_TOP_1_0005_0001.mp4_0014093.jpg	      0		2070	1889													20230309-1	12					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005		36.3
